DDO Code,DDO Name
001,001-BLOCK DEV.OFFICER JHANDUTTA
002,002-BLOCK MEDICAL OFFICER JHANDUTTA
004,004-C.D.P.O. JHANDUTTA
005,"005-SUB POST OFFICE, JHANDUTTA  "
006,006-AE IPH SUB DIV KALOL
007,007-AE IPH SUB DIV JHANDUTTA
008,008-S.D.O. (CIVIL) JHANDUTTA
026,026-DY DIR HORTICULTURE BILASPUR
200,200-GSSS KALOL
201,201-GSSS SALWAR
202,202-GSSS JEJWIN
203,203-GSSS JHANDUTTA
204,204-GSSS GEHRWIN
205,205-GSSS SAMOH
206,206-BEEO JHANDUTTA
207,207-GSSS Jaddu KulZiar
208,208-GSSS Malroun
209,209-GSSS NAKHLEHRA
210,210-GSSS DAHAD
211,211-GSSS Dhanather
212,212-GSSS Jabloo
213,213-GHS Baroha
214,214-PRINCIPAL GSSS DHANI
215,215-PRINCIPAL GSSS BALLA
216,216-GHS Balghar
217,217-GHS Bharoli Kalan
218,218-PR GD COLLEGE JHANDUTTA
219,219-GSSS BADGAUN
220,220-PRINCIPAL ITI BERTHIN
500,500-DISTRICT TREASURY OFFICER BILASPUR
501,501-DEPUTY COMMISSIONER BILASPUR
504,504-AC TO DC BILASPUR
506,506-DISTRICT REVENUE OFFICER BILASPUR
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SP BILASPUR
515,515-ASSTT REGISTRAR COOP SOCIETY
525,525-DEPUTY DIRECTOR AGRICULTURE  
529,529-DISTT CONTROLLER FOOD & CIVIL SUPPLY
534,534-DISTRICT MINING OFFICER
537,537-TEHSILDAR JHANDUTA
639,639-E.E HPPWD DIVISION NURPUR
737,737-EE IPH DIVISION GHUMARWIN
819,819-DFO BILASPUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER ( P & S )     
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
