DDO Code,DDO Name
001,"001-PROJECT DIRECTOR, M.I.D.H SHIMLA "
004,004-D.D. (PR) SHIMLA
005,005-J.D.(LAND RECORDS) SHIMLA
006,006-J.D.(F&S) SHIMLA
007,007-MED. SUPDT.(IGH) SHIMLA
008,008-MED. SUPDT.(KNH) SHIMLA
009,009-SECRETARY (H.P.P.S.C)SHIMLA
010,010-DIG (PRISONS)SHIMLA
012,012-JT EXCISE & TAXATION COMMR (HQ) SHIMLA
013,013-DIRECTOR SOCIAL JUSTICE AND EMPOWRMENT SHIMLA
014,014-A.S.O. (FOREST) SHIMLA
015,015-STATE GEOLOGIST SHIMLA
016,016-D.D.(HIPA) FAIR LAWNS SHIMLA
017,017-REGISTRAR (PRY.EDU.) SHIMLA
019,019-REGISTRAR(PWD) DEPTT (VIG.) SHIMLA
020,020-REGISTRAR(IPH) DEPTT.(VIG.) SHIMLA
021,021-R.O.(INST.FIN.PUB.ENTERPRISES) SHIMLA
022,022-S.S.O.(HG) ADMINISTRATION SHIMLA
025,025-SECTION OFFICER (VIG.) SHIMLA
026,026-SR. ANALYTICAL CHEMIST SHIMLA
027,027-S.P. SV & ACB (H.P.) SHIMLA
028,028-STATE TOWN PLANNER SHIMLA
029,029-S.P. (CID) SHIMLA
031,031-SR.MARKET.OFFICER (HORT.)
032,032-S.P. (WIRELESS) SHIMLA
033,033-S.P.SV & ACB (H.P.)
034,034-U.S.(HOUSING) SHIMLA
035,035-ASSTT CONTROLLER (F.A) SHIMLA
036,036-SENIOR PLANT PROTECTION OFFICER SHIMLA
039,039-ASSTT TOWN COUNTRY PLANNER SHIMLA
041,041-S.O.(SAD) H.P.SECTT. SHIMLA
043,043-DY CONTROLLER FA O/O PR CCF SHIMLA
044,044-D.D.(YOUTH & SPORTS) SHIMLA
045,045-ESTATE OFFICER SHIMLA
049,049-JOINT DIRECTOR (LAD) SHIMLA
050,050-A.I.G. POLICE (HQ) SHIMLA
051,051-U.S. MPP & POWER SHIMLA
052,052-ADVOCATE GENERAL H.P.
055,055-ASSTT.FLORICULTURIST(AFT)
057,057-A.D.(CONSOLIDATION OF HOLDING) SHIMLA
