DDO Code,DDO Name
001,001-S.D.O.(CIVIL) NICHAR AT B NAGAR
002,002-B.D.O NICHAR
003,003-C.D.P.O. NICHAR
007,007-S P M NICHAR
008,008-AE PWD PROJECT SUB DIV BHABANAGAR
009,009-AE PWD NH SUB DIV NIGULSARI
010,010-AE PWD MECH SUB DIV BHABANAGAR
011,011-AE PWD SUB DIV PONDA
012,012-AE IPH SUB DIV NICHAR
200,200-GSSS NIGULSARI
201,201-GSSS URNI
202,202-GSSS KATGAON
203,203-GSSS NICHAR
204,204-GSSS RUPI
205,205-GHS CHHOTA KHAMBA
206,206-BEEO NICHAR
207,207-GSSS CHAGAON
208,208-GSSS MIROO
209,209-GHS RAMNI
210,210-GHS BARI
211,211-GHS KANGOS
212,212-GHS NATHPA
213,213-HM GHS PANVI
214,214-HM GHS CHAURA
500,500-TREASURY OFFICER NICHAR
505,505-CHIEF MEDICAL OFFICER KALPA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
524,524-Horticulture Development Officer Nichar
525,525-DISTT AGR. OFFICER R/PEO
537,537-TEHSILDAR NICHAR
648,648-EE HPPWD DIV kumarsain
651,651-E E B& R DIVISION KARCHHAM
654,654-EE HPPWD Mech. Div Rampur
708,708-XEN I&PH DIVISION PEO
835,835-D F O KALPA
927,927-D F O CAT PLAN NICHAR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
