DDO Code,DDO Name
001,001-BLOCK MEDICAL OFFICER BHORANJ
002,002-BLOCK DEV. OFFICER BHORANJ
003,003-C.D.P.O. BHORANJ
004,004-E.O. PANCHAYAT SMITI BHORANJ
005,005-SUB POST-MASTER BHORANJ
006,006-S.D.O.(CIVIL) BHORANJ
007,007-AE IPH SUB DIV BHORANJ
008,008-AE PWD SUB DIV BHORANJ
200,200-PR GSSS BHARERI
201,201-BEEO BHORANJ
202,202-GSSS BAHANWIN
203,203-PR GSSS KHARWAR
204,204-PR GSSS BHORANJ
205,205-GSSS PAROL
206,206-PR GSSS BHAGWARA
207,207-GSSS MAHAL
208,208-GSSS BADHANI
209,209-GSSS MUNDHKHAR
210,210-GSSS LADROR
211,211-GSSS TIKKAR KHATRAIN
212,212-GSSS PATTA
213,213-HM GHS BADEHAR
214,214-GSSS CHAMBOH
215,215-PR GSSS JAHU
216,216-GSSS DARBIAR
217,217-HM GHS LUDDAR MAHADEV
218,218-HM GHS BARARA
219,219-HM GHS KANJYAN
220,220-GHS DHIRWIN
221,221-HM GHS KAKKAR
222,222-HM GHS BHUKKER
223,223-GHS DHAMROOL BHORANJ
224,224-HM GHS SHAMIR PUR
225,225-GHS MANOH
226,226-PR GOVT DEGREE COLLEGE BHORANJ
227,227-PRINCIPAL GSSS AMROH
228,228-GHS KHUTHRIN
229,229-GHS BALOH
230,230-PR ITI BHORANJ
500,500-DISTRICT TREASURY OFFICER HAMIRPUR
501,501-DEPUTY COMMISSIONER HAMIRPUR
505,505-CHIEF MEDICAL OFFICER
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
515,515-ASSTT REGISTRAR COOP SOCIETY
525,525-DEPUTY DIRECTOR AGRICULTURE
537,537-TEHSILDAR BHORANJ
637,"637-E.E. PWD DIVISION, BARSAR"
739,739-IPH DIVISION BARSAR
822,822-FOREST DIVISION HAMIRPUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
