DDO Code,DDO Name
001,001-RESIDENT COMMISSIONER PANGI
002,002-S.D.O. (CIVIL) Pangi At Killar
003,003-PROJECT OFFICER ITDP PANGI
004,004-B.D.O. PANGI
005,005-BLOCK MEDICAL OFFICER PANGI
006,006-TEH.WEL.OFFICER PANGI
007,007-C.D.P.O. PANGI
009,009-EMPLOYEMNT EXCHANGE PANGI AT KILLAR
011,011-SUBDIV. AYUR. MED. OFFI. PANGI
013,013-AE IPH SUB DIV PANGI
200,200-PR GSSS KILLAR
201,201-PR GSSS SACH(PANGI)
202,202-PR GSSS DHRWAS
203,203-PR GSSS SECHUNALA
204,204-PR GSSS PURTHI
205,205-BEEO PANGI
206,206-HM GHS SURAL (PANGI)
207,207-HM GHS KURYANI
208,208-B E O PANGI
209,209-HM GHS KUMAR PARMAR
210,210-PRINCIPAL GSSS REI PANGI
211,211-HM GHS SAHLI
212,212-HM GHS TUNDRU
213,213-PRINCIPAL ITI KILLAR
214,214-PRINCIPAL G D C PANGI 
215,215-PRINCIPAL GOVT MODEL SSS HILLOUR
500,500-TREASURY OFFICE
510,510-SUPERINTENDENT OF POLICE CHAMBA
514,514-DISTT. PUBLIC RELATION OFFICER PANGI
515,515-ASSTT.REGISTRAR COOP. SOC. PANGI
516,516-ASSTT DIR A.H.& BREEDING PANGI
524,524-SUBJECT MATTER SPECIALIST HORTICULTURE PANGI
525,525-DEPUTY DIRECTOR AGRICULTURE PANGI
529,529-DISTT.FOOD & SUPPLY CONTROLLER PANGI
531,531-DISTT.YOUTH & SPORTS OFFICER PANGI
537,537-TEHSILDAR PANGI
633,"633-E.E. PWD DIVISION,KILLAR"
800,800-FOREST DIVISION PANGI
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
