DDO Code,DDO Name
001,001-TEXTILE OFFICER KULLU
002,002-ASTT DISTT ATTORENY L&S AT KULLU
003,003-EO TO SE 6TH CIRCLE KULLU
004,004-B.D.O. NAGGAR KULLU
005,005-SUPDTT SUB JAIL KULLU
007,"007-PLANNING OFFICER, TCP KULLU"
008,008-EO TO SE I&PH KULLU
009,009-DEPUTY DIRECTOR HORTICULTURE KULLU
010,010-B.D.O. KULLU
011,011-DY DIRECTOR FISHERIES KULLU
012,012-S.D.O. (CIVIL) KULLU
013,013-FRUIT TECHNOLOGIST SHAMSHI
014,014-SUBJECT MATTER SPECIALIST HORTICULTURE (FDP) BAJAURA
015,015-BLOCK MEDICAL OFFICER JAREE
017,017-C.D.P.O. NAGGAR AT KATRAIN
018,018-EO PANCHYAT SAMITI NAGAR
019,019-EO PANCHYAT SAMITI KULLU
021,021-PRESIDENT MC KULLU
023,023-CIVIL JUDGE SR DIV LAHAUL AT KULLU
025,025-PRINCIPAL ITI SHAMSHI
026,026-BLOCK MEDICAL OFFICER NAGAR
028,028-C.D.P.O. KULLU
031,031-ASTT SETTELMENT OFFICER KULLU
032,032-ASO CUM COLLECTOR FOREST KULU
037,037-DPO ( I C D S ) KULLU
038,038-ADDL DISTRICT AND SESSIONS JUDGE KULLU
039,039-AE PWD SUB DIV BHUNTAR
040,040-RTO (FLYING SQUAD) KULLU
041,041-AE PWD SUB DIV III KULLU
042,042-AE PWD NH SUB DIV KATRAIN
043,043-AE PWD SUB DIV I KATRAIN
044,044-AE PWD MECH SUB DIV II SAMSHI
045,045-AE IPH SUB DIV I KULLU
046,046-AE IPH SUB DIV KATRIAN
047,047-AE IPH SUB DIV SAMSHI
048,048-AE IPH SUB DIV LARJI
049,049-AE PWD ELE SUB DIV KULLU
050,050-AE PWD SUB DIV MANIKARAN
051,"051-MEDICAL SUPERINTENDENT REGIONAL HOSPITAL, KULLU"
052,052-A.E. PROJECT SUB DIVISION-II HPPWD
200,200-GSSS MANIKARAN
201,201-GSSS KHARAHAL
202,202-BEEO KULLU-I
203,203-BEEO KULLU-II
204,204-GSSS SHIAHA
205,205-GSSS BHUTTI
206,206-PR SSS BHUNTER
208,208-PR SSS KATRAIN
209,209-PR SSS SULTANPUR
210,210-PRINCIPAL GSSS NATHAN
211,211-PR SSS BAJAURA
212,212-PR GOVT COLLEGE KULLU
214,214-HM GHS BRAIN
215,215-GSSS KAIS
216,216-PR SSS RAISON
217,217-PROJ OFFICFR( ADT EDU) KULLU-I
218,218-DISTT ADULT EDU OFFICER KULLU 
220,220-GSSS JAREE
221,221-GSSS JALLUGRAN
222,222-PR GSSS GADSA
223,223-COMMANDING OFFICER 1HP AIR SQN NCC KULLU
224,224-GSSS KULLU(B)
227,227-BEEO NAGGARAT AT KATRAIN
228,228-GSSS BHALYANI
229,229-GSSS NAGGAR
230,230-PR GSSS SHALLANG
231,231-GSSS MOHAL
233,233-GSSS SARI BHEKHLI
234,234-HM GHS SHIRARH
235,235-GSSS KHALOGI
236,236-PR DISTT INST EDU & TRING KULL
237,237-GHS BARSHANI
238,238-PR GSSS PEEJ
239,239-GSSS FOZAL
240,240-GSSS THARAS
241,241-GSSS CHHAMAHAN
242,242-PRINCIPAL GOVT. S.S.S DUGHILAG
243,243-GSSS PEENI
244,244-GSSS DIYAR
245,245-GHS BAGAN
246,246-PRINCIPAL GSSS CHHENOUR
247,247-GHS CHESHTA
248,248-GHS HALLAN-1
249,249-GHS NERI
250,250-GHS SACHANI
251,251-GHS SHAT
252,252-GHS MALANA
253,253-PRINCIPAL ITI Manali at Patlikulh
254,254-PRINCIPAL GOVT POLYTECHNIC KULLU
255,255-PRINCIPAL INDUSTRIAL TRAINING INSTITUTE KULLU
256,256-PR GOVT SSS KHALYANI
257,257-PRINCIPAL GSSS THELLA
258,258-PRINCIPAL GSSS NEUL
259,259-PRINCIPAL STATE OF THE ART ITI SHAMSHI
500,500-DISTRICT TREASURY OFFICER KULLU
501,501-DEPUTY COMMISSIONER KULLU
503,503-ADM KULLU
504,504-AC TO DC KULLU
505,505-CHIEF MEDICAL OFFICER KULLU
506,506-DISTRICT REVENUE OFFICER KULLU
507,507-DISTRICT AND SESSION JUDGE KULLU
508,508-CIVIL JUDGE (SR DIVISION) KULLU
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE KULLU
511,511-DY DIR EDU (SECONDARY) KULLU
512,512-DY. DIR.ELE EDUCATION KULLU
513,513-DY DIRECTOR ZILA SANIK WELFARE KULLU
514,514-DISTT PUBLIC RELATION KULLU
515,515-ASTT.REGISTRAR COOP .SOC. KULLU
516,516-ASSTT DIR A.H.& BREEDING KULLU
517,517-DISTT EMPLOYMENT OFFICER KULLU
518,518-ELECTION KULLU
519,519-DISTT WELFARE OFFICER KULLU
520,520-DISTRICT LANGUAGE OFFICER KULLU
521,521-DISTRICT STATISTACAL OFFICER KULLU
522,522-DISST AYURVEDIC OFFICER KULLU
523,523-DISTRICT ATTORNEY KULLU
525,525-D D AGRICULTURE KULLU
527,527-GEN MANAGER D. I .C . KULLU
528,528-COMMANDANT HOME GUARD KULLU
529,529-DISTT.FOOD & SUPPLY CONTROLLER KULLU
530,530-PLANNING OFFICER KULLU
531,"531-DISTT YOUTH SER &SPORTS KULLU,"
532,532-DEPUTY DIRECTOR TOURISM AND CIVIL AVIATION KULLU DHALPUR
533,533-DIST.DEV. & PANCHAYAT OFFICER
534,534-MINING OFFICER KULLU
536,536-DISTT LIBRARIAN KULLU
538,538-LABOUR OFFICER KULLU
539,539-SUB DIV SOIL CONS OFFICER KULLU
540,540-PROJECT OFFR D.R.D.A KULLU
541,541-REGIONAL TRANSPORT OFFICER KULLU
542,542-SECRETARY DISTRICT LEGAL AUTHORITY KULLU
600,"600-E.E. PWD DIVISION-I, MANDI"
626,626-E.E. HPPWD.DIVISION BANJAR
627,627-E.E. PWD DIVISION -II KULLU
628,628-E.E. PWD NH DIVISION PANDOH
646,"646-E.E. PWD ELECT.DIV.,MANDI"
662,662-E.E PWD MECH DIVISION SHAMSHI
711,711-IPH DIVISION ANNI
713,713-EE IPH KULLU- I
715,715-IPH DIVISION NO-I SHIMLA
763,763-E.E.IPH.KULLU-II AT BHUNTER
800,800-FOREST DIVISION PANGI(KILLAR)
809,809-FOREST DIVISION KULLU
810,810-FOREST DIVISION PARBATI SHAMSHI
811,811-FOREST DIVISION SIRAJ(BANJAR)
863,863-TA TO CONSV FOREST KULLU
864,864-DFO WILD LIFE KULLU
893,893-DIR GH NATIONAL PARK SHAMSHI 
921,921-DFO(WRKNG PLN) SERAJ AT SHAMSHI
940,940-DIV W/SHED DEV OFFICER KULLU
