DDO Code,DDO Name
001,001-C.D.P.O. KAZA
002,002-T W O KAZA
003,003-BLOCK MEDICAL OFFICER KAZA
004,004-AD AH BREEDING KAZA
005,005-B.D.O. KAZA
006,006-APO AGRICULTURE KAZA
007,007-APRO KAZA
008,008-SDPO KAZA
011,011-PO ITDP KAZA
012,012-POST MASTER KAZA
013,013-AE IPH SUB DIVISION KAZA
014,014-AE PWD MECH SUB DIV KAZA
015,015-AE IPH SUB DIVISION TABO
016,016-AE PWD SUB DIVISION KAZA
017,017-AE PWD SUB DIVISION HURLING
018,018-AE PWD SUB DIVISION SICHLING
019,019-AE PWD SUB DIVISION LOSSAR
020,020-INSPECTOR COOP SOCIETIES KAZA
021,021-Fishery Officer Kaza
022,022-EXTENSION OFFICER INDUSTRIES KAZA
023,023-SUB DIVISIONAL OFFICER(C) KAZA
200,200-PR SSS HANSA
201,201-PR GSSS KAZA
202,202-PR GSSS RANGRIK
203,203-PR SSS SAGNAM
204,204-PR SSS KIBBER
205,205-PR SSS LOSSER
206,206-PR SSS TABO
207,207-BEEO KAZA
208,208-HM GHS DHANKAR
209,209-PRINCIPAL GSSS GULLING
210,210-HM GHS HULL
211,211-PRINCIPAL ITI RONGTONG
212,212-PR GSSS MANE YOGMA
213,213-GHS LALUNG
214,214-GHS DEMUL
500,500-DISTRICT TREASURY OFFICE KAZA
501,501-DEPUTY COMMISSIONER KAZA
502,502-ADDL DEPUTY COMMR KAZA
508,508-SENIOR SUB-JUDGE
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
512,512-DY. DIR.ELE EDUCATION KAZA
518,518-SDO C ELECTION KAZA
522,522-DISTRICT AYURVEDIC OFFICER KAZA
524,524-SUBJECT MATTER SPECIALIST HORTICULTURE KAZA
529,529-DISTRICT FOOD SUPPLY CONTROLLER KAZA
531,531-DISTT YSS OFFICER KAZA
536,536-DISTT LIBRARIAN OFFICE KAZA
653,653-E. E PWD DIVISION SPITI KAZA
654,654-E.E PWD MECH DIVISION RAMPUR
660,660-E.E PWD MECH DIVISION SHIMLA
662,662-E.E PWD MECH DIVISION KULU
709,709-EE IPH DIVISION POOH
712,712-IPH DIVISION KAZA
889,889-DIRECTOR NATIONAL PARK KAZA
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
