DDO Code,DDO Name
001,001-BLOCK MEDICAL OFFICER BALDWARA
002,002-SUB POST MASTER BALDWARA
007,007-AE PWD SUB DIV BALDWADA
008,008-AE IPH SUB DIV BALDWARA
200,200-PR SSS BALDWARA
201,201-BEEO 2ND AT BHANBLA
202,202-GSSS BHAMBLA
203,203-GSSS SMAILA
204,204-GSSS CHOWK
205,205-GSSS DHANER PATRIGHAT
206,206-PR SSS KASHMAILA
207,207-PR SSS TRIFALGHAT
208,208-GSSS KOT-HATLI
209,209-PR SSS MAJHIATH
210,210-GSSS KHANOT
211,211-PR SSS TIKKRI SADHWANI
212,212-GSSS KOLANI DHALWAN
213,213-HM GHS KALTHAR
214,214-PRINCIPAL ITI BATAIL BALDWADA
215,215-PR GOVT DEGREE COLLEGE BALDWARA
500,500-DISTRICT TREASURY OFFICER MANDI
505,505-CHIEF MEDICAL OFFICER
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
525,525-DEPUTY DIRECTOR AGRICULTURE
537,537-TEHSILDAR BALDWARA
604,"604-E.E. PWD DIVISION, SARKAGHAT"
661,661-E.E. PWD MECH.DIV. BILASPUR
701,701-IPH DIVISION SARKAGHAT
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
